id,text,language,emotion,stress_level,stress_score
20948,મને ખુબ દબાણ લાગે છે #947,Gujarati,surprise,low,3
20949,મને ખુબ દબાણ લાગે છે #948,Gujarati,joy,low,3
20950,હું આજે ખુબ એકલો અનુભવું છું #949,Gujarati,anger,low,1
20951,મને આજે ખુબ શાંતિ લાગે છે #950,Gujarati,joy,low,0
20952,હું મારા કામથી નિરાશ છું #951,Gujarati,joy,medium,6
20953,મને આજે ખુબ શાંતિ લાગે છે #952,Gujarati,surprise,medium,4
20954,હું આજે ખુબ શાંત અનુભવું છું #953,Gujarati,surprise,high,8
20955,હું આવતીકાલ માટે ઉત્સાહિત છું #954,Gujarati,joy,low,1
20956,હું આવતીકાલ માટે ઉત્સાહિત છું #955,Gujarati,sadness,medium,5
20957,મને આજે ખુબ ખુશી થાય છે #956,Gujarati,anger,medium,6
20958,મને મારા પરીક્ષાની ચિંતા છે #957,Gujarati,anger,high,7
20959,મને ખુબ તણાવ લાગે છે #958,Gujarati,anger,medium,6
20960,મને મારા પરીક્ષાની ચિંતા છે #959,Gujarati,fear,high,7
20961,મને આજે ખુબ ખુશી થાય છે #960,Gujarati,neutral,low,3
20962,મને ખુબ ગુસ્સો આવે છે #961,Gujarati,neutral,low,2
20963,હું આજે ખુબ એકલો અનુભવું છું #962,Gujarati,neutral,low,1
20964,મને ખુબ તણાવ લાગે છે #963,Gujarati,fear,high,8
20965,મને ખુબ ગુસ્સો આવે છે #964,Gujarati,sadness,low,2
20966,હું આવતીકાલ માટે ઉત્સાહિત છું #965,Gujarati,surprise,high,10
20967,હું આજે ખુબ એકલો અનુભવું છું #966,Gujarati,anger,medium,6
20968,આ સમાચારથી હું આશ્ચર્યચકિત થયો #967,Gujarati,stress,high,9
20969,આ સમાચારથી હું આશ્ચર્યચકિત થયો #968,Gujarati,stress,high,9
20970,મને મારા પરીક્ષાની ચિંતા છે #969,Gujarati,stress,low,0
20971,મને ખુબ દબાણ લાગે છે #970,Gujarati,anger,low,0
20972,હું આવતીકાલ માટે ઉત્સાહિત છું #971,Gujarati,fear,low,1
20973,મને ખુબ ગુસ્સો આવે છે #972,Gujarati,stress,low,0
20974,મને મારા ભવિષ્યની ચિંતા છે #973,Gujarati,joy,low,0
20975,મને મારા ભવિષ્યની ચિંતા છે #974,Gujarati,joy,low,2
20976,મને ખુબ દબાણ લાગે છે #975,Gujarati,surprise,low,2
20977,મને ખુબ તણાવ લાગે છે #976,Gujarati,surprise,medium,5
20978,હું મારા કામથી નિરાશ છું #977,Gujarati,anger,high,10
20979,મને આજે ખુબ ખુશી થાય છે #978,Gujarati,stress,high,10
20980,મને મારા પરીક્ષાની ચિંતા છે #979,Gujarati,fear,medium,6
20981,મને મારા ભવિષ્યની ચિંતા છે #980,Gujarati,joy,high,9
20982,આ સમાચારથી હું આશ્ચર્યચકિત થયો #981,Gujarati,joy,medium,5
20983,મને ખુબ દબાણ લાગે છે #982,Gujarati,surprise,low,0
20984,મને આજે ખુબ ખુશી થાય છે #983,Gujarati,stress,low,1
20985,મને ખુબ દબાણ લાગે છે #984,Gujarati,joy,medium,5
20986,મને મારા ભવિષ્યની ચિંતા છે #985,Gujarati,joy,low,1
20987,મને ખુબ તણાવ લાગે છે #986,Gujarati,neutral,high,9
20988,મને ખુબ ગુસ્સો આવે છે #987,Gujarati,anger,high,8
20989,મને ખુબ દબાણ લાગે છે #988,Gujarati,fear,high,9
20990,હું મારા કામથી નિરાશ છું #989,Gujarati,sadness,high,10
20991,મને મારા ભવિષ્યની ચિંતા છે #990,Gujarati,stress,low,3
20992,મને ખુબ તણાવ લાગે છે #991,Gujarati,sadness,high,7
20993,હું આજે ખુબ શાંત અનુભવું છું #992,Gujarati,joy,medium,5
20994,મને મારા પરીક્ષાની ચિંતા છે #993,Gujarati,anger,high,9
20995,મને ખુબ ગુસ્સો આવે છે #994,Gujarati,stress,low,1
20996,હું આજે ખુબ શાંત અનુભવું છું #995,Gujarati,stress,low,1
20997,મને આજે ખુબ શાંતિ લાગે છે #996,Gujarati,stress,high,9
20998,હું આવતીકાલ માટે ઉત્સાહિત છું #997,Gujarati,neutral,high,10
20999,આ સમાચારથી હું આશ્ચર્યચકિત થયો #998,Gujarati,anger,high,7
21000,મને મારા ભવિષ્યની ચિંતા છે #999,Gujarati,sadness,high,10
21001,હું આજે ખુબ શાંત અનુભવું છું #1000,Gujarati,sadness,high,10
21002,હું આજે ખુબ એકલો અનુભવું છું #1001,Gujarati,fear,medium,4
21003,મને ખુબ તણાવ લાગે છે #1002,Gujarati,stress,low,3
21004,મને ખુબ તણાવ લાગે છે #1003,Gujarati,joy,medium,4
21005,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1004,Gujarati,stress,low,3
21006,હું આવતીકાલ માટે ઉત્સાહિત છું #1005,Gujarati,joy,medium,6
21007,હું આવતીકાલ માટે ઉત્સાહિત છું #1006,Gujarati,surprise,medium,4
21008,મને આજે ખુબ ખુશી થાય છે #1007,Gujarati,anger,medium,5
21009,મને આજે ખુબ ખુશી થાય છે #1008,Gujarati,fear,medium,6
21010,મને ખુબ ગુસ્સો આવે છે #1009,Gujarati,anger,low,2
21011,હું આજે ખુબ એકલો અનુભવું છું #1010,Gujarati,joy,high,8
21012,મને આજે ખુબ શાંતિ લાગે છે #1011,Gujarati,stress,low,2
21013,હું આવતીકાલ માટે ઉત્સાહિત છું #1012,Gujarati,anger,medium,6
21014,હું આજે ખુબ એકલો અનુભવું છું #1013,Gujarati,surprise,high,8
21015,મને મારા ભવિષ્યની ચિંતા છે #1014,Gujarati,surprise,high,7
21016,હું મારા કામથી નિરાશ છું #1015,Gujarati,surprise,medium,5
21017,મને ખુબ તણાવ લાગે છે #1016,Gujarati,fear,low,3
21018,મને ખુબ તણાવ લાગે છે #1017,Gujarati,joy,high,10
21019,હું આજે ખુબ શાંત અનુભવું છું #1018,Gujarati,stress,medium,4
21020,મને આજે ખુબ શાંતિ લાગે છે #1019,Gujarati,sadness,low,3
21021,મને મારા ભવિષ્યની ચિંતા છે #1020,Gujarati,stress,low,3
21022,મને ખુબ તણાવ લાગે છે #1021,Gujarati,stress,medium,6
21023,મને આજે ખુબ ખુશી થાય છે #1022,Gujarati,sadness,low,1
21024,મને ખુબ ગુસ્સો આવે છે #1023,Gujarati,fear,high,8
21025,મને મારા પરીક્ષાની ચિંતા છે #1024,Gujarati,surprise,low,2
21026,મને ખુબ ગુસ્સો આવે છે #1025,Gujarati,fear,high,7
21027,મને આજે ખુબ શાંતિ લાગે છે #1026,Gujarati,neutral,low,1
21028,હું આવતીકાલ માટે ઉત્સાહિત છું #1027,Gujarati,fear,high,10
21029,મને મારા ભવિષ્યની ચિંતા છે #1028,Gujarati,anger,high,9
21030,મને આજે ખુબ ખુશી થાય છે #1029,Gujarati,sadness,high,8
21031,મને મારા ભવિષ્યની ચિંતા છે #1030,Gujarati,anger,high,9
21032,હું આવતીકાલ માટે ઉત્સાહિત છું #1031,Gujarati,stress,high,9
21033,મને ખુબ દબાણ લાગે છે #1032,Gujarati,fear,medium,5
21034,મને આજે ખુબ શાંતિ લાગે છે #1033,Gujarati,sadness,low,3
21035,મને મારા ભવિષ્યની ચિંતા છે #1034,Gujarati,anger,high,10
21036,હું આજે ખુબ એકલો અનુભવું છું #1035,Gujarati,stress,low,3
21037,મને આજે ખુબ શાંતિ લાગે છે #1036,Gujarati,neutral,high,8
21038,મને મારા ભવિષ્યની ચિંતા છે #1037,Gujarati,joy,low,2
21039,હું મારા કામથી નિરાશ છું #1038,Gujarati,surprise,high,9
21040,મને મારા પરીક્ષાની ચિંતા છે #1039,Gujarati,anger,medium,5
21041,મને આજે ખુબ ખુશી થાય છે #1040,Gujarati,stress,high,10
21042,મને ખુબ તણાવ લાગે છે #1041,Gujarati,stress,high,9
21043,મને આજે ખુબ શાંતિ લાગે છે #1042,Gujarati,neutral,low,1
21044,મને ખુબ તણાવ લાગે છે #1043,Gujarati,surprise,medium,6
21045,હું આવતીકાલ માટે ઉત્સાહિત છું #1044,Gujarati,stress,low,3
21046,હું આજે ખુબ શાંત અનુભવું છું #1045,Gujarati,stress,low,0
21047,મને ખુબ દબાણ લાગે છે #1046,Gujarati,anger,low,1
21048,હું આજે ખુબ શાંત અનુભવું છું #1047,Gujarati,stress,low,3
21049,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1048,Gujarati,joy,high,7
21050,મને ખુબ તણાવ લાગે છે #1049,Gujarati,surprise,medium,4
21051,મને ખુબ દબાણ લાગે છે #1050,Gujarati,surprise,medium,4
21052,મને ખુબ દબાણ લાગે છે #1051,Gujarati,fear,medium,6
21053,મને આજે ખુબ ખુશી થાય છે #1052,Gujarati,sadness,low,0
21054,મને આજે ખુબ શાંતિ લાગે છે #1053,Gujarati,anger,high,8
21055,મને ખુબ ગુસ્સો આવે છે #1054,Gujarati,joy,high,8
21056,હું આવતીકાલ માટે ઉત્સાહિત છું #1055,Gujarati,joy,medium,6
21057,મને ખુબ તણાવ લાગે છે #1056,Gujarati,stress,medium,4
21058,મને આજે ખુબ શાંતિ લાગે છે #1057,Gujarati,neutral,low,1
21059,હું મારા કામથી નિરાશ છું #1058,Gujarati,sadness,medium,6
21060,મને મારા ભવિષ્યની ચિંતા છે #1059,Gujarati,joy,low,2
21061,મને આજે ખુબ ખુશી થાય છે #1060,Gujarati,stress,low,2
21062,મને આજે ખુબ શાંતિ લાગે છે #1061,Gujarati,surprise,low,2
21063,હું આજે ખુબ એકલો અનુભવું છું #1062,Gujarati,anger,high,8
21064,હું આજે ખુબ શાંત અનુભવું છું #1063,Gujarati,joy,medium,5
21065,મને ખુબ તણાવ લાગે છે #1064,Gujarati,neutral,low,0
21066,મને આજે ખુબ ખુશી થાય છે #1065,Gujarati,stress,high,7
21067,મને મારા ભવિષ્યની ચિંતા છે #1066,Gujarati,sadness,high,9
21068,હું આજે ખુબ શાંત અનુભવું છું #1067,Gujarati,neutral,low,3
21069,હું આવતીકાલ માટે ઉત્સાહિત છું #1068,Gujarati,fear,medium,4
21070,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1069,Gujarati,fear,medium,6
21071,મને મારા પરીક્ષાની ચિંતા છે #1070,Gujarati,joy,medium,6
21072,મને મારા ભવિષ્યની ચિંતા છે #1071,Gujarati,neutral,low,2
21073,મને આજે ખુબ ખુશી થાય છે #1072,Gujarati,sadness,high,7
21074,મને મારા ભવિષ્યની ચિંતા છે #1073,Gujarati,fear,low,0
21075,હું આજે ખુબ એકલો અનુભવું છું #1074,Gujarati,neutral,low,2
21076,મને મારા ભવિષ્યની ચિંતા છે #1075,Gujarati,neutral,medium,5
21077,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1076,Gujarati,stress,medium,5
21078,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1077,Gujarati,surprise,low,1
21079,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1078,Gujarati,anger,high,9
21080,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1079,Gujarati,fear,high,10
21081,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1080,Gujarati,anger,medium,5
21082,હું આવતીકાલ માટે ઉત્સાહિત છું #1081,Gujarati,joy,low,2
21083,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1082,Gujarati,surprise,low,3
21084,મને આજે ખુબ શાંતિ લાગે છે #1083,Gujarati,joy,high,8
21085,મને ખુબ દબાણ લાગે છે #1084,Gujarati,joy,low,1
21086,હું મારા કામથી નિરાશ છું #1085,Gujarati,joy,low,1
21087,મને ખુબ ગુસ્સો આવે છે #1086,Gujarati,anger,high,9
21088,મને ખુબ તણાવ લાગે છે #1087,Gujarati,stress,high,10
21089,મને આજે ખુબ શાંતિ લાગે છે #1088,Gujarati,sadness,low,1
21090,મને મારા ભવિષ્યની ચિંતા છે #1089,Gujarati,sadness,low,0
21091,મને ખુબ તણાવ લાગે છે #1090,Gujarati,fear,low,2
21092,હું આજે ખુબ એકલો અનુભવું છું #1091,Gujarati,fear,low,1
21093,મને ખુબ તણાવ લાગે છે #1092,Gujarati,surprise,high,9
21094,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1093,Gujarati,neutral,low,2
21095,મને આજે ખુબ શાંતિ લાગે છે #1094,Gujarati,neutral,high,9
21096,હું આજે ખુબ એકલો અનુભવું છું #1095,Gujarati,stress,medium,5
21097,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1096,Gujarati,stress,low,3
21098,મને આજે ખુબ શાંતિ લાગે છે #1097,Gujarati,joy,high,7
21099,હું આજે ખુબ એકલો અનુભવું છું #1098,Gujarati,joy,low,0
21100,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1099,Gujarati,surprise,high,7
21101,મને મારા ભવિષ્યની ચિંતા છે #1100,Gujarati,sadness,high,10
21102,મને ખુબ તણાવ લાગે છે #1101,Gujarati,neutral,medium,5
21103,મને આજે ખુબ શાંતિ લાગે છે #1102,Gujarati,fear,medium,5
21104,હું મારા કામથી નિરાશ છું #1103,Gujarati,joy,low,0
21105,મને ખુબ દબાણ લાગે છે #1104,Gujarati,sadness,high,10
21106,હું મારા કામથી નિરાશ છું #1105,Gujarati,stress,medium,4
21107,હું આજે ખુબ એકલો અનુભવું છું #1106,Gujarati,neutral,high,10
21108,હું આજે ખુબ શાંત અનુભવું છું #1107,Gujarati,fear,medium,6
21109,મને આજે ખુબ ખુશી થાય છે #1108,Gujarati,joy,medium,4
21110,હું આજે ખુબ શાંત અનુભવું છું #1109,Gujarati,neutral,low,2
21111,મને આજે ખુબ ખુશી થાય છે #1110,Gujarati,stress,low,0
21112,મને મારા ભવિષ્યની ચિંતા છે #1111,Gujarati,fear,medium,6
21113,મને ખુબ ગુસ્સો આવે છે #1112,Gujarati,sadness,medium,4
21114,મને ખુબ ગુસ્સો આવે છે #1113,Gujarati,joy,medium,6
21115,મને મારા પરીક્ષાની ચિંતા છે #1114,Gujarati,fear,low,0
21116,મને મારા ભવિષ્યની ચિંતા છે #1115,Gujarati,sadness,medium,4
21117,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1116,Gujarati,anger,low,3
21118,હું આજે ખુબ એકલો અનુભવું છું #1117,Gujarati,sadness,medium,6
21119,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1118,Gujarati,sadness,medium,6
21120,મને ખુબ તણાવ લાગે છે #1119,Gujarati,stress,low,2
21121,હું આજે ખુબ એકલો અનુભવું છું #1120,Gujarati,fear,low,3
21122,મને ખુબ તણાવ લાગે છે #1121,Gujarati,fear,low,0
21123,મને આજે ખુબ શાંતિ લાગે છે #1122,Gujarati,surprise,medium,4
21124,મને ખુબ દબાણ લાગે છે #1123,Gujarati,sadness,high,7
21125,મને મારા પરીક્ષાની ચિંતા છે #1124,Gujarati,sadness,medium,4
21126,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1125,Gujarati,surprise,medium,4
21127,હું આવતીકાલ માટે ઉત્સાહિત છું #1126,Gujarati,neutral,high,9
21128,મને આજે ખુબ શાંતિ લાગે છે #1127,Gujarati,surprise,high,7
21129,મને ખુબ ગુસ્સો આવે છે #1128,Gujarati,sadness,medium,4
21130,હું મારા કામથી નિરાશ છું #1129,Gujarati,stress,medium,5
21131,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1130,Gujarati,anger,medium,4
21132,મને ખુબ તણાવ લાગે છે #1131,Gujarati,joy,low,3
21133,મને આજે ખુબ શાંતિ લાગે છે #1132,Gujarati,surprise,medium,4
21134,હું આજે ખુબ એકલો અનુભવું છું #1133,Gujarati,joy,high,8
21135,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1134,Gujarati,surprise,medium,5
21136,મને ખુબ તણાવ લાગે છે #1135,Gujarati,joy,medium,6
21137,હું આજે ખુબ એકલો અનુભવું છું #1136,Gujarati,fear,low,1
21138,મને ખુબ ગુસ્સો આવે છે #1137,Gujarati,surprise,low,0
21139,હું આવતીકાલ માટે ઉત્સાહિત છું #1138,Gujarati,anger,low,0
21140,મને ખુબ દબાણ લાગે છે #1139,Gujarati,surprise,medium,4
21141,મને આજે ખુબ શાંતિ લાગે છે #1140,Gujarati,stress,low,2
21142,મને મારા ભવિષ્યની ચિંતા છે #1141,Gujarati,sadness,low,3
21143,મને આજે ખુબ શાંતિ લાગે છે #1142,Gujarati,fear,low,0
21144,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1143,Gujarati,neutral,high,10
21145,મને મારા ભવિષ્યની ચિંતા છે #1144,Gujarati,surprise,low,1
21146,હું મારા કામથી નિરાશ છું #1145,Gujarati,stress,high,9
21147,મને મારા પરીક્ષાની ચિંતા છે #1146,Gujarati,stress,medium,6
21148,હું મારા કામથી નિરાશ છું #1147,Gujarati,joy,low,0
21149,મને મારા ભવિષ્યની ચિંતા છે #1148,Gujarati,surprise,high,9
21150,હું આજે ખુબ શાંત અનુભવું છું #1149,Gujarati,fear,medium,5
21151,મને આજે ખુબ ખુશી થાય છે #1150,Gujarati,surprise,low,3
21152,મને ખુબ દબાણ લાગે છે #1151,Gujarati,surprise,medium,5
21153,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1152,Gujarati,joy,low,3
21154,હું આજે ખુબ એકલો અનુભવું છું #1153,Gujarati,stress,high,10
21155,મને ખુબ દબાણ લાગે છે #1154,Gujarati,joy,high,10
21156,મને ખુબ તણાવ લાગે છે #1155,Gujarati,sadness,low,2
21157,મને ખુબ દબાણ લાગે છે #1156,Gujarati,stress,high,10
21158,મને ખુબ દબાણ લાગે છે #1157,Gujarati,joy,high,9
21159,હું આજે ખુબ શાંત અનુભવું છું #1158,Gujarati,neutral,low,3
21160,મને મારા ભવિષ્યની ચિંતા છે #1159,Gujarati,joy,high,7
21161,મને મારા પરીક્ષાની ચિંતા છે #1160,Gujarati,fear,medium,5
21162,મને આજે ખુબ ખુશી થાય છે #1161,Gujarati,surprise,low,3
21163,હું આવતીકાલ માટે ઉત્સાહિત છું #1162,Gujarati,stress,high,7
21164,મને ખુબ દબાણ લાગે છે #1163,Gujarati,sadness,medium,6
21165,મને ખુબ ગુસ્સો આવે છે #1164,Gujarati,stress,medium,5
21166,હું આવતીકાલ માટે ઉત્સાહિત છું #1165,Gujarati,neutral,high,10
21167,હું મારા કામથી નિરાશ છું #1166,Gujarati,neutral,low,1
21168,મને મારા ભવિષ્યની ચિંતા છે #1167,Gujarati,surprise,medium,4
21169,મને આજે ખુબ શાંતિ લાગે છે #1168,Gujarati,fear,medium,4
21170,મને ખુબ તણાવ લાગે છે #1169,Gujarati,surprise,medium,6
21171,મને મારા ભવિષ્યની ચિંતા છે #1170,Gujarati,anger,low,3
21172,મને ખુબ તણાવ લાગે છે #1171,Gujarati,surprise,medium,5
21173,મને આજે ખુબ ખુશી થાય છે #1172,Gujarati,neutral,high,8
21174,હું મારા કામથી નિરાશ છું #1173,Gujarati,joy,low,0
21175,હું આજે ખુબ શાંત અનુભવું છું #1174,Gujarati,neutral,high,8
21176,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1175,Gujarati,stress,low,2
21177,મને મારા પરીક્ષાની ચિંતા છે #1176,Gujarati,surprise,low,3
21178,મને ખુબ ગુસ્સો આવે છે #1177,Gujarati,fear,low,2
21179,મને મારા પરીક્ષાની ચિંતા છે #1178,Gujarati,surprise,medium,4
21180,હું આવતીકાલ માટે ઉત્સાહિત છું #1179,Gujarati,joy,high,7
21181,હું મારા કામથી નિરાશ છું #1180,Gujarati,fear,low,1
21182,મને ખુબ તણાવ લાગે છે #1181,Gujarati,neutral,low,0
21183,મને ખુબ ગુસ્સો આવે છે #1182,Gujarati,joy,low,1
21184,હું આજે ખુબ શાંત અનુભવું છું #1183,Gujarati,anger,medium,4
21185,હું આજે ખુબ એકલો અનુભવું છું #1184,Gujarati,anger,medium,5
21186,હું મારા કામથી નિરાશ છું #1185,Gujarati,sadness,medium,4
21187,હું મારા કામથી નિરાશ છું #1186,Gujarati,sadness,medium,6
21188,મને આજે ખુબ શાંતિ લાગે છે #1187,Gujarati,sadness,high,7
21189,મને આજે ખુબ ખુશી થાય છે #1188,Gujarati,joy,high,8
21190,મને ખુબ દબાણ લાગે છે #1189,Gujarati,anger,medium,6
21191,મને ખુબ દબાણ લાગે છે #1190,Gujarati,fear,high,7
21192,હું આવતીકાલ માટે ઉત્સાહિત છું #1191,Gujarati,fear,medium,6
21193,મને ખુબ ગુસ્સો આવે છે #1192,Gujarati,joy,low,2
21194,હું મારા કામથી નિરાશ છું #1193,Gujarati,surprise,high,8
21195,હું આજે ખુબ શાંત અનુભવું છું #1194,Gujarati,neutral,low,2
21196,હું આવતીકાલ માટે ઉત્સાહિત છું #1195,Gujarati,stress,high,7
21197,મને મારા પરીક્ષાની ચિંતા છે #1196,Gujarati,sadness,high,10
21198,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1197,Gujarati,neutral,low,0
21199,હું આવતીકાલ માટે ઉત્સાહિત છું #1198,Gujarati,neutral,high,7
21200,હું આવતીકાલ માટે ઉત્સાહિત છું #1199,Gujarati,stress,low,3
21201,હું મારા કામથી નિરાશ છું #1200,Gujarati,fear,high,9
21202,મને મારા પરીક્ષાની ચિંતા છે #1201,Gujarati,surprise,low,0
21203,હું આજે ખુબ શાંત અનુભવું છું #1202,Gujarati,sadness,low,3
21204,હું આજે ખુબ એકલો અનુભવું છું #1203,Gujarati,sadness,low,0
21205,હું આજે ખુબ એકલો અનુભવું છું #1204,Gujarati,fear,low,2
21206,મને આજે ખુબ ખુશી થાય છે #1205,Gujarati,surprise,medium,5
21207,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1206,Gujarati,anger,high,8
21208,હું આજે ખુબ એકલો અનુભવું છું #1207,Gujarati,fear,low,0
21209,મને આજે ખુબ ખુશી થાય છે #1208,Gujarati,fear,medium,6
21210,મને આજે ખુબ શાંતિ લાગે છે #1209,Gujarati,joy,medium,4
21211,હું આજે ખુબ શાંત અનુભવું છું #1210,Gujarati,anger,high,9
21212,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1211,Gujarati,joy,high,10
21213,મને મારા પરીક્ષાની ચિંતા છે #1212,Gujarati,sadness,high,8
21214,મને મારા ભવિષ્યની ચિંતા છે #1213,Gujarati,sadness,medium,6
21215,મને મારા પરીક્ષાની ચિંતા છે #1214,Gujarati,anger,high,9
21216,હું આજે ખુબ શાંત અનુભવું છું #1215,Gujarati,stress,low,3
21217,હું આજે ખુબ એકલો અનુભવું છું #1216,Gujarati,joy,high,10
21218,મને મારા પરીક્ષાની ચિંતા છે #1217,Gujarati,anger,medium,4
21219,હું આજે ખુબ એકલો અનુભવું છું #1218,Gujarati,neutral,high,7
21220,હું આજે ખુબ એકલો અનુભવું છું #1219,Gujarati,neutral,low,0
21221,હું આવતીકાલ માટે ઉત્સાહિત છું #1220,Gujarati,neutral,high,8
21222,મને આજે ખુબ શાંતિ લાગે છે #1221,Gujarati,anger,medium,6
21223,મને મારા પરીક્ષાની ચિંતા છે #1222,Gujarati,fear,high,9
21224,મને ખુબ દબાણ લાગે છે #1223,Gujarati,anger,high,8
21225,હું આજે ખુબ એકલો અનુભવું છું #1224,Gujarati,neutral,low,0
21226,હું આજે ખુબ એકલો અનુભવું છું #1225,Gujarati,neutral,low,0
21227,મને મારા ભવિષ્યની ચિંતા છે #1226,Gujarati,surprise,medium,5
21228,મને આજે ખુબ ખુશી થાય છે #1227,Gujarati,stress,low,0
21229,મને આજે ખુબ શાંતિ લાગે છે #1228,Gujarati,stress,medium,5
21230,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1229,Gujarati,fear,medium,5
21231,મને ખુબ ગુસ્સો આવે છે #1230,Gujarati,fear,low,0
21232,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1231,Gujarati,surprise,medium,4
21233,મને ખુબ દબાણ લાગે છે #1232,Gujarati,fear,medium,4
21234,મને ખુબ ગુસ્સો આવે છે #1233,Gujarati,surprise,high,9
21235,હું આજે ખુબ એકલો અનુભવું છું #1234,Gujarati,anger,low,0
21236,હું આવતીકાલ માટે ઉત્સાહિત છું #1235,Gujarati,anger,medium,6
21237,મને મારા પરીક્ષાની ચિંતા છે #1236,Gujarati,stress,low,0
21238,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1237,Gujarati,sadness,high,8
21239,મને ખુબ તણાવ લાગે છે #1238,Gujarati,stress,medium,4
21240,મને મારા ભવિષ્યની ચિંતા છે #1239,Gujarati,neutral,high,7
21241,મને મારા ભવિષ્યની ચિંતા છે #1240,Gujarati,fear,high,8
21242,મને ખુબ તણાવ લાગે છે #1241,Gujarati,neutral,low,0
21243,મને ખુબ ગુસ્સો આવે છે #1242,Gujarati,joy,high,10
21244,મને ખુબ દબાણ લાગે છે #1243,Gujarati,sadness,high,10
21245,હું આવતીકાલ માટે ઉત્સાહિત છું #1244,Gujarati,fear,low,0
21246,મને મારા પરીક્ષાની ચિંતા છે #1245,Gujarati,stress,low,0
21247,હું આજે ખુબ એકલો અનુભવું છું #1246,Gujarati,joy,high,9
21248,હું મારા કામથી નિરાશ છું #1247,Gujarati,fear,high,9
21249,મને મારા પરીક્ષાની ચિંતા છે #1248,Gujarati,sadness,medium,6
21250,મને મારા પરીક્ષાની ચિંતા છે #1249,Gujarati,surprise,low,0
21251,મને ખુબ દબાણ લાગે છે #1250,Gujarati,neutral,low,1
21252,મને મારા ભવિષ્યની ચિંતા છે #1251,Gujarati,neutral,medium,5
21253,હું આજે ખુબ શાંત અનુભવું છું #1252,Gujarati,surprise,high,9
21254,મને ખુબ તણાવ લાગે છે #1253,Gujarati,stress,high,9
21255,હું આજે ખુબ એકલો અનુભવું છું #1254,Gujarati,joy,low,1
21256,મને મારા પરીક્ષાની ચિંતા છે #1255,Gujarati,neutral,medium,6
21257,મને ખુબ તણાવ લાગે છે #1256,Gujarati,surprise,medium,5
21258,મને ખુબ તણાવ લાગે છે #1257,Gujarati,stress,low,2
21259,હું મારા કામથી નિરાશ છું #1258,Gujarati,sadness,low,3
21260,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1259,Gujarati,fear,low,1
21261,હું આવતીકાલ માટે ઉત્સાહિત છું #1260,Gujarati,surprise,low,1
21262,મને આજે ખુબ શાંતિ લાગે છે #1261,Gujarati,sadness,low,3
21263,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1262,Gujarati,fear,medium,5
21264,હું મારા કામથી નિરાશ છું #1263,Gujarati,surprise,medium,4
21265,મને આજે ખુબ ખુશી થાય છે #1264,Gujarati,sadness,low,3
21266,મને ખુબ તણાવ લાગે છે #1265,Gujarati,fear,low,1
21267,હું આવતીકાલ માટે ઉત્સાહિત છું #1266,Gujarati,stress,low,0
21268,હું આજે ખુબ એકલો અનુભવું છું #1267,Gujarati,stress,medium,6
21269,હું આજે ખુબ એકલો અનુભવું છું #1268,Gujarati,fear,high,8
21270,હું આજે ખુબ શાંત અનુભવું છું #1269,Gujarati,anger,high,10
21271,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1270,Gujarati,surprise,high,10
21272,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1271,Gujarati,fear,medium,5
21273,મને ખુબ ગુસ્સો આવે છે #1272,Gujarati,neutral,medium,4
21274,હું આજે ખુબ શાંત અનુભવું છું #1273,Gujarati,anger,medium,5
21275,મને ખુબ દબાણ લાગે છે #1274,Gujarati,joy,medium,6
21276,મને મારા ભવિષ્યની ચિંતા છે #1275,Gujarati,surprise,low,3
21277,આ સમાચારથી હું આશ્ચર્યચકિત થયો #1276,Gujarati,fear,high,8
21278,મને ખુબ ગુસ્સો આવે છે #1277,Gujarati,stress,high,9
21279,મને ખુબ ગુસ્સો આવે છે #1278,Gujarati,surprise,high,8
